"Account","Flag","Date","Payee","Category Group/Category","Category Group","Category","Memo","Outflow","Inflow","Cleared"
"USAA Checking","","10/10/2019","Bose Corporation Expense","Immediate Obligations: Phone Bill","Immediate Obligations","Phone Bill","",$0.00,$65.38,"Cleared"
"USAA Checking","","10/10/2019","Harvard Universi","Inflow: To be Budgeted","Inflow","To be Budgeted","",$0.00,$967.40,"Cleared"
"USAA Checking","","10/10/2019","Bose Corporation","Inflow: To be Budgeted","Inflow","To be Budgeted","",$0.00,$1645.04,"Cleared"
"Alliant Visa","","10/09/2019","SC Mini Miracles","Immediate Obligations: Child Care","Immediate Obligations","Child Care","",$664.00,$0.00,"Cleared"
"Alliant Visa","","10/09/2019","Seaquake Brewing Crescent Cityca","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$85.43,$0.00,"Cleared"
"Alliant Visa","","10/09/2019","Chevron Crescent Cityca","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$43.63,$0.00,"Cleared"
"Alliant Visa","","10/09/2019","Crater Lake Natural Histocrater Lake OR","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$33.93,$0.00,"Cleared"
"Alliant Visa","","10/09/2019","Hiouchi Cafe Crescent Cityca","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$32.85,$0.00,"Cleared"
"Alliant Visa","","10/09/2019","Exxonmobil Oakridge OR","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$29.35,$0.00,"Cleared"
"Alliant Visa","","10/09/2019","Crater Lake Np Annie Es Crater Lake OR","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$25.00,$0.00,"Cleared"
"Alliant Visa","","10/09/2019","Rainey's Corner Market White City OR","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$19.30,$0.00,"Cleared"
"Alliant Visa","","10/09/2019","Crater Lake Rim Vill Ss Crater Lake OR","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$16.00,$0.00,"Cleared"
"Alliant Visa","","10/09/2019","AMZ*The Washington P     help@wa","True Expenses: News","True Expenses","News","",$3.99,$0.00,"Cleared"
"Alliant Visa","","10/08/2019","Hiouchi Motel And Storagecrescent Cityca","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$94.60,$0.00,"Cleared"
"Alliant Visa","","10/08/2019","Laurel Deli And Desser Fort Bragg CA","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$42.98,$0.00,"Cleared"
"Alliant Visa","","10/08/2019","76 Sei Benicia CA","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$32.30,$0.00,"Cleared"
"Alliant Visa","","10/08/2019","Rinehart Oil Fort Bragg CA","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$24.49,$0.00,"Cleared"
"Alliant Visa","","10/07/2019","Grubhubokepokewalnutc","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$43.00,$0.00,"Cleared"
"Alliant Visa","","10/07/2019","9 Levy@49 Ers Santa Clara CA","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$39.00,$0.00,"Cleared"
"Alliant Visa","","10/07/2019","1 Levy@49 Ers Santa Clara CA","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$28.60,$0.00,"Cleared"
"Alliant Visa","","10/07/2019","9 Levy@49 Ers Santa Clara CA","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$24.00,$0.00,"Cleared"
"Alliant Visa","","10/07/2019","Target","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$1.21,$0.00,"Cleared"
"USAA Checking","","10/07/2019","Venmo","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$0.00,$15.00,"Cleared"
"USAA Checking","","10/07/2019","Venmo","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$0.00,$35.00,"Cleared"
"Alliant Visa","","10/06/2019","Brodericks Walnut Crwalnut Creek CA","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$176.14,$0.00,"Cleared"
"Alliant Visa","","10/06/2019","Maria Walnut Creekwalnut Creek CA","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$81.33,$0.00,"Cleared"
"Alliant Visa","","10/06/2019","Target","Extras: Disposable Income","Extras","Disposable Income","CJs Halloween costume",$21.65,$0.00,"Cleared"
"Alliant Visa","","10/05/2019","Jupiter Berkeley CA","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$85.29,$0.00,"Cleared"
"Alliant Visa","","10/05/2019","Katys Kreek Restaurant Walnut Creek CA","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$72.54,$0.00,"Cleared"
"Alliant Visa","","10/05/2019","New York Times Digital","True Expenses: News","True Expenses","News","",$25.00,$0.00,"Cleared"
"Alliant Visa","","10/05/2019","Bancroft Clothing CO CA","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$21.94,$0.00,"Cleared"
"Alliant Visa","","10/05/2019","Mainely Burgers Br","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$20.94,$0.00,"Cleared"
"Alliant Visa","","10/05/2019","Ucb Hearst Museum Anthro Berkeley CA","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$12.00,$0.00,"Cleared"
"Alliant Visa","","10/05/2019","Harvard Campus Services Cambridge MA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$9.84,$0.00,"Cleared"
"Alliant Visa","","10/05/2019","City Of Berkeley Ips Berkeley CA","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$7.50,$0.00,"Cleared"
"Alliant Visa","","10/05/2019","Harvard Campus Services Cambridge MA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$5.30,$0.00,"Cleared"
"Alliant Visa","","10/04/2019","Bounty Hunter Rare Wine Awalnut Creek CA","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$94.48,$0.00,"Cleared"
"Alliant Visa","","10/04/2019","Grubhubmandarincafe","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$79.00,$0.00,"Cleared"
"Alliant Visa","","10/04/2019","Bos Hudson St","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$33.15,$0.00,"Cleared"
"Alliant Visa","","10/04/2019","Amazon","Extras: Disposable Income","Extras","Disposable Income","Three body problem",$9.99,$0.00,"Cleared"
"Alliant Visa","","10/04/2019","Market@Work Renton WA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$7.22,$0.00,"Cleared"
"Alliant Visa","","10/04/2019","Harvard Campus Services Cambridge MA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$6.38,$0.00,"Cleared"
"USAA Checking","","10/04/2019","Bose Corporation","Inflow: To be Budgeted","Inflow","To be Budgeted","",$0.00,$1643.61,"Cleared"
"USAA Checking","","10/03/2019","Transfer : Alliant Visa","","","","",$1480.29,$0.00,"Cleared"
"Alliant Visa","","10/03/2019","Peach Labs Inc","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$15.77,$0.00,"Cleared"
"Alliant Visa","","10/03/2019","Harvard Campus Services Cambridge MA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$7.65,$0.00,"Cleared"
"Alliant Visa","","10/03/2019","Market@Work Renton WA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$1.74,$0.00,"Cleared"
"Alliant Visa","","10/03/2019","Market@Work Renton WA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$1.70,$0.00,"Cleared"
"Alliant Visa","","10/03/2019","Transfer : USAA Checking","","","","",$0.00,$1480.29,"Cleared"
"USAA Checking","","10/02/2019","Venmo Payment","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","Owens",$35.00,$0.00,"Cleared"
"Alliant Visa","","10/02/2019","Fooda Inc","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$11.77,$0.00,"Cleared"
"Alliant Visa","","10/02/2019","Harvard Campus Services Cambridge MA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$7.28,$0.00,"Cleared"
"Alliant Visa","","10/02/2019","Market@Work Renton WA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$6.82,$0.00,"Cleared"
"Alliant Visa","","10/02/2019","Bose R&D Framingham MA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$6.50,$0.00,"Cleared"
"Alliant Visa","","10/02/2019","Market@Work Renton WA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$1.94,$0.00,"Cleared"
"Alliant Visa","","10/02/2019","Market@Work Renton WA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$1.70,$0.00,"Cleared"
"USAA Checking","","10/02/2019","Google Pay Afav","Extras: Disposable Income","Extras","Disposable Income","",$0.00,$571.43,"Cleared"
"USAA Checking","","10/01/2019","Jpmorgan Chase Chase","Immediate Obligations: Mortgage","Immediate Obligations","Mortgage","",$3169.63,$0.00,"Cleared"
"Alliant Visa","","10/01/2019","USAA Insurance Payment","Immediate Obligations: Home/Auto/Umbrella Insurance","Immediate Obligations","Home/Auto/Umbrella Insurance","",$352.23,$0.00,"Cleared"
"Alliant Visa","","10/01/2019","Rcn Cable Phone Intern PA","Immediate Obligations: Internet and Streaming TV","Immediate Obligations","Internet and Streaming TV","",$58.16,$0.00,"Cleared"
"Alliant Visa","","10/01/2019","Gulf Oil Framingham MA","Immediate Obligations: Transportation","Immediate Obligations","Transportation","",$26.19,$0.00,"Cleared"
"Alliant Visa","","10/01/2019","Harvard Campus Services Cambridge MA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$10.11,$0.00,"Cleared"
"Wealthfront Savings","","10/01/2019","Interest Automated Transaction Interest","Extras: Disposable Income","Extras","Disposable Income","",$0.00,$36.69,"Cleared"
"Alliant Visa","","09/30/2019","Amazon","True Expenses: Household Items/Personal Care/Wellness","True Expenses","Household Items/Personal Care/Wellness","nyquil",$18.00,$0.00,"Cleared"
"Alliant Visa","","09/30/2019","Peach Labs Inc","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$12.83,$0.00,"Cleared"
"Alliant Visa","","09/30/2019","Market@Work Renton WA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$1.74,$0.00,"Cleared"
"Alliant Visa","","09/30/2019","Market@Work Renton WA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$1.70,$0.00,"Cleared"
"USAA Checking","","09/30/2019","Google Pay 9 Py6","True Expenses: Gifts","True Expenses","Gifts","Split (1/2) ryo contrib to dads bday",$0.00,$45.00,"Cleared"
"USAA Checking","","09/30/2019","Google Pay 9 Py6","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","Split (2/2) ryo contrib to Sunday food",$0.00,$15.00,"Cleared"
"Alliant Visa","","09/29/2019","Wegmans Natick Natick MA","True Expenses: Gifts","True Expenses","Gifts","Split (1/2) dads bday",$130.00,$0.00,"Cleared"
"Alliant Visa","","09/29/2019","Wegmans Natick Natick MA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","Split (2/2) ",$141.47,$0.00,"Cleared"
"Alliant Visa","","09/29/2019","Bjs Wholesale Framingham MA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","Split (1/2) ",$153.15,$0.00,"Cleared"
"Alliant Visa","","09/29/2019","Bjs Wholesale Framingham MA","True Expenses: Clothing","True Expenses","Clothing","Split (2/2) ",$24.97,$0.00,"Cleared"
"Alliant Visa","","09/28/2019","Preflight Onl Ap","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$150.04,$0.00,"Cleared"
"Alliant Visa","","09/28/2019","Sp Rothys Rothys.com CA","Extras: Disposable Income","Extras","Disposable Income","",$105.00,$0.00,"Cleared"
"Alliant Visa","","09/28/2019","Amazon","True Expenses: Gifts","True Expenses","Gifts","dad's 60th pt 1",$78.49,$0.00,"Cleared"
"Alliant Visa","","09/28/2019","Pizza Peddler & Deli Natick MA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$28.16,$0.00,"Cleared"
"Alliant Visa","","09/28/2019","Wegmans Natick Natick MA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$17.41,$0.00,"Cleared"
"Alliant Visa","","09/28/2019","Spotify USA","True Expenses: Streaming Music","True Expenses","Streaming Music","",$14.99,$0.00,"Cleared"
"Alliant Visa","","09/28/2019","Harvard Campus Services Cambridge MA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$10.11,$0.00,"Cleared"
"Alliant Visa","","09/28/2019","E Z Pass MA","Immediate Obligations: Transportation","Immediate Obligations","Transportation","",$10.00,$0.00,"Cleared"
"Alliant Visa","","09/28/2019","Harvard Campus Services Cambridge MA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$5.30,$0.00,"Cleared"
"USAA Checking","","09/27/2019","Transfer : Alliant Visa","","","","",$1263.96,$0.00,"Cleared"
"Alliant Visa","","09/27/2019","Minado Restaurant","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$87.65,$0.00,"Cleared"
"Alliant Visa","","09/27/2019","Peach Labs Inc","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$16.57,$0.00,"Cleared"
"Alliant Visa","","09/27/2019","Market@Work Renton WA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$6.82,$0.00,"Cleared"
"Alliant Visa","","09/27/2019","Market@Work Renton WA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$1.70,$0.00,"Cleared"
"Alliant Visa","","09/27/2019","Transfer : USAA Checking","","","","",$0.00,$1263.96,"Cleared"
"USAA Checking","","09/26/2019","Eversource Web Pay","Immediate Obligations: Electric","Immediate Obligations","Electric","",$193.11,$0.00,"Cleared"
"USAA Checking","","09/26/2019","Venmo Payment","True Expenses: Gifts","True Expenses","Gifts","for Chris' wedding",$20.00,$0.00,"Cleared"
"USAA Checking","","09/26/2019","Eversource Web Pay","Immediate Obligations: Gas","Immediate Obligations","Gas","",$13.54,$0.00,"Cleared"
"Alliant Visa","","09/26/2019","Peach Labs Inc","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$10.69,$0.00,"Cleared"
"Alliant Visa","","09/26/2019","Harvard Campus Services Cambridge MA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$9.84,$0.00,"Cleared"
"Alliant Visa","","09/26/2019","Market@Work Renton WA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$1.74,$0.00,"Cleared"
"Alliant Visa","","09/26/2019","Market@Work Renton WA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$1.70,$0.00,"Cleared"
"USAA Checking","","09/26/2019","Interest Paid","Extras: Disposable Income","Extras","Disposable Income","",$0.00,$0.12,"Cleared"
"USAA Checking","","09/26/2019","Harvard Universi","Inflow: To be Budgeted","Inflow","To be Budgeted","",$0.00,$826.73,"Cleared"
"USAA Checking","","09/26/2019","Bose Corporation","Inflow: To be Budgeted","Inflow","To be Budgeted","",$0.00,$1653.44,"Cleared"
"Alliant Visa","","09/25/2019","SC Mini Miracles","Immediate Obligations: Child Care","Immediate Obligations","Child Care","",$664.00,$0.00,"Cleared"
"Alliant Visa","","09/25/2019","Fooda Inc","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$12.50,$0.00,"Cleared"
"Alliant Visa","","09/25/2019","Harvard Campus Services Cambridge MA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$9.84,$0.00,"Cleared"
"Alliant Visa","","09/25/2019","Market@Work Renton WA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$1.94,$0.00,"Cleared"
"Alliant Visa","","09/25/2019","Market@Work Renton WA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$1.70,$0.00,"Cleared"
"Alliant Visa","","09/24/2019","Northface Vf Outdoor","True Expenses: Clothing","True Expenses","Clothing","",$40.00,$0.00,"Cleared"
"USAA Checking","","09/24/2019","Check #1466","True Expenses: Pet Expenses (excluding food and litter, which are groceries)","True Expenses","Pet Expenses (excluding food and litter, which are groceries)","",$30.00,$0.00,"Cleared"
"Alliant Visa","","09/24/2019","Amazon","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","cat food",$22.30,$0.00,"Cleared"
"USAA Checking","","09/24/2019","Transfer : USAA Joint Visa","","","","",$16.00,$0.00,"Cleared"
"Alliant Visa","","09/24/2019","Peach Labs Inc","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$12.83,$0.00,"Cleared"
"Alliant Visa","","09/24/2019","Harvard Campus Services Cambridge MA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$9.84,$0.00,"Cleared"
"Alliant Visa","","09/24/2019","Market@Work Renton WA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$7.01,$0.00,"Cleared"
"Alliant Visa","","09/24/2019","Market@Work Renton WA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$1.56,$0.00,"Cleared"
"USAA Joint Visa","","09/24/2019","Transfer : USAA Checking","","","","",$0.00,$16.00,"Cleared"
"Alliant Visa","","09/23/2019","Wegmans Natick Natick MA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$104.21,$0.00,"Cleared"
"Alliant Visa","","09/23/2019","Grubhubkruakhunyahtha","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$71.00,$0.00,"Cleared"
"Alliant Visa","","09/23/2019","Wegmans Natick Natick MA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$17.31,$0.00,"Cleared"
"Alliant Visa","","09/23/2019","Wegmans Natick Natick MA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$13.90,$0.00,"Cleared"
"Alliant Visa","","09/23/2019","Wegmans Natick Natick MA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$1.91,$0.00,"Cleared"
"USAA Checking","","09/23/2019","Google Pay 4 D1 I","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$0.00,$20.00,"Cleared"
"Alliant Visa","","09/22/2019","Shell","Immediate Obligations: Transportation","Immediate Obligations","Transportation","",$26.81,$0.00,"Cleared"
"Alliant Visa","","09/22/2019","Netflix","Immediate Obligations: Internet and Streaming TV","Immediate Obligations","Internet and Streaming TV","",$12.99,$0.00,"Cleared"
"Alliant Visa","","09/22/2019","Exxonmobil Plantsville CT","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$11.19,$0.00,"Cleared"
"Alliant Visa","","09/21/2019","Google Pay G.Co Walleth#Ca","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$20.00,$0.00,"Cleared"
"Alliant Visa","","09/21/2019","Google Domains Internet CA","True Expenses: Annual Expenses","True Expenses","Annual Expenses","",$12.00,$0.00,"Cleared"
"Alliant Visa","","09/21/2019","Nicholson Plumbing Heatin","True Expenses: Home Maintenance","True Expenses","Home Maintenance","",$9.50,$0.00,"Cleared"
"Alliant Visa","","09/20/2019","Peck's Market Edlr Eldred NY","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$32.48,$0.00,"Cleared"
"USAA Checking","","09/20/2019","Venmo Payment","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$20.00,$0.00,"Cleared"
"Alliant Visa","","09/20/2019","Harvard Campus Services Cambridge MA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$9.31,$0.00,"Cleared"
"USAA Checking","","09/20/2019","Venmo","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$0.00,$10.00,"Cleared"
"USAA Checking","","09/19/2019","Transfer : Alliant Visa","","","","",$1573.41,$0.00,"Cleared"
"Alliant Visa","","09/19/2019","Gulf Oil Framingham MA","Immediate Obligations: Transportation","Immediate Obligations","Transportation","",$25.61,$0.00,"Cleared"
"USAA Joint Visa","","09/19/2019","Aramark Fenway Park","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$16.00,$0.00,"Cleared"
"Alliant Visa","","09/19/2019","Market@Work Renton WA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$6.81,$0.00,"Cleared"
"Alliant Visa","","09/19/2019","Gulf Oil Framingham MA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$5.38,$0.00,"Cleared"
"Alliant Visa","","09/19/2019","Transfer : USAA Checking","","","","",$0.00,$1573.41,"Cleared"
"USAA Checking","","09/19/2019","Bose Corporation","Inflow: To be Budgeted","Inflow","To be Budgeted","",$0.00,$1653.43,"Cleared"
"Alliant Visa","","09/18/2019","Pokeworks Somerville MA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$29.63,$0.00,"Cleared"
"Alliant Visa","","09/18/2019","Exxonmobil Dover MA","Immediate Obligations: Transportation","Immediate Obligations","Transportation","",$28.80,$0.00,"Cleared"
"Alliant Visa","","09/18/2019","Market@Work Renton WA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$12.89,$0.00,"Cleared"
"Alliant Visa","","09/18/2019","Harvard Campus Services Cambridge MA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$8.03,$0.00,"Cleared"
"Alliant Visa","","09/18/2019","Av Cc Jamba Juice Jamaica NY","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$6.96,$0.00,"Cleared"
"Alliant Visa","","09/18/2019","Chipotle Somerville MA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$4.55,$0.00,"Cleared"
"Alliant Visa","","09/18/2019","Market@Work Renton WA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$1.94,$0.00,"Cleared"
"Alliant Visa","","09/17/2019","Logan Parking Massport","Archive: Browns/Jets Trip","Archive","Browns/Jets Trip","",$114.00,$0.00,"Cleared"
"Alliant Visa","","09/17/2019","Tmobile Auto Pay","Immediate Obligations: Phone Bill","Immediate Obligations","Phone Bill","",$65.32,$0.00,"Cleared"
"Alliant Visa","","09/17/2019","Google Pay G.Co Walleth#Ca","Archive: Browns/Jets Trip","Archive","Browns/Jets Trip","lyft to airport",$47.00,$0.00,"Cleared"
"Alliant Visa","","09/17/2019","Hula Poke","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$16.04,$0.00,"Cleared"
"Alliant Visa","","09/17/2019","The Halal Guys Amsterda","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$10.87,$0.00,"Cleared"
"Alliant Visa","","09/17/2019","Harvard Campus Services Cambridge MA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$7.28,$0.00,"Cleared"
"Alliant Visa","","09/17/2019","Wegmans Natick Natick MA","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$5.28,$0.00,"Cleared"
"USAA Checking","","09/17/2019","Google Pay Y950","Archive: Browns/Jets Trip","Archive","Browns/Jets Trip","",$0.00,$60.00,"Cleared"
"Alliant Visa","","09/16/2019","Lyft","Archive: Browns/Jets Trip","Archive","Browns/Jets Trip","",$120.55,$0.00,"Cleared"
"Alliant Visa","","09/16/2019","Au Cheval Nyc","Archive: Browns/Jets Trip","Archive","Browns/Jets Trip","",$92.13,$0.00,"Cleared"
"Alliant Visa","","09/16/2019","Metlife Concessions East Rutherfonj","Archive: Browns/Jets Trip","Archive","Browns/Jets Trip","",$50.00,$0.00,"Cleared"
"Alliant Visa","","09/16/2019","Metlife Concessions East Rutherfonj","Archive: Browns/Jets Trip","Archive","Browns/Jets Trip","",$26.00,$0.00,"Cleared"
"Alliant Visa","","09/16/2019","Metlife Concessions East Rutherfonj","Archive: Browns/Jets Trip","Archive","Browns/Jets Trip","",$24.00,$0.00,"Cleared"
"Alliant Visa","","09/16/2019","Njt Web Sales","Archive: Browns/Jets Trip","Archive","Browns/Jets Trip","",$22.00,$0.00,"Cleared"
"Alliant Visa","","09/16/2019","Westside Market","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","",$16.01,$0.00,"Cleared"
"Alliant Visa","","09/16/2019","Mta Metrocard Machine","Archive: Browns/Jets Trip","Archive","Browns/Jets Trip","",$16.00,$0.00,"Cleared"
"USAA Checking","","09/16/2019","Google Pay Xker","Archive: Browns/Jets Trip","Archive","Browns/Jets Trip","",$0.00,$17.50,"Cleared"
"Alliant Visa","","09/15/2019","Google Pay G.Co Walleth#Ca","Immediate Obligations: Food and Groceries","Immediate Obligations","Food and Groceries","indian food",$70.00,$0.00,"Cleared"
